android/ddm/DdmHandleViewDebug.connected, inclusiveCpuTime:0, inclusiveRealTime:0, call times:4, cpuTime:0/call, realTime:0/call
android/content/pm/ProviderInfo$1.createFromParcel, inclusiveCpuTime:4211, inclusiveRealTime:4609, call times:3, cpuTime:1403/call, realTime:1536/call
com/tencent/mobileqq/activity/QQBrowserActivity.init, inclusiveCpuTime:302215, inclusiveRealTime:1380432, call times:1, cpuTime:302215/call, realTime:1380432/call
java/util/concurrent/ScheduledThreadPoolExecutor$ScheduledFutureTask.getDelay, inclusiveCpuTime:365, inclusiveRealTime:947, call times:7, cpuTime:52/call, realTime:135/call
android/view/ViewRootImpl$RunQueue.removeCallbacks, inclusiveCpuTime:61, inclusiveRealTime:61, call times:1, cpuTime:61/call, realTime:61/call
java/util/TreeMap$KeySet.iterator, inclusiveCpuTime:62, inclusiveRealTime:62, call times:3, cpuTime:20/call, realTime:20/call
android/view/GLES20Canvas.restoreToCount, inclusiveCpuTime:123, inclusiveRealTime:122, call times:6, cpuTime:20/call, realTime:20/call
android/view/GLES20Canvas.initCaches, inclusiveCpuTime:30, inclusiveRealTime:30, call times:1, cpuTime:30/call, realTime:30/call
com/tencent/mobileqq/util/BitmapManager.<clinit>, inclusiveCpuTime:213, inclusiveRealTime:214, call times:1, cpuTime:213/call, realTime:214/call
com/tencent/feedback/proguard/w.d, inclusiveCpuTime:0, inclusiveRealTime:0, call times:1, cpuTime:0/call, realTime:0/call
java/lang/String.toCharArray, inclusiveCpuTime:3942, inclusiveRealTime:5336, call times:217, cpuTime:18/call, realTime:24/call
android/os/Parcel.writeByte, inclusiveCpuTime:152, inclusiveRealTime:186, call times:6, cpuTime:25/call, realTime:31/call
com/tencent/widget/TraceUtils.traceEnd, inclusiveCpuTime:31, inclusiveRealTime:0, call times:14, cpuTime:2/call, realTime:0/call
com/tencent/smtt/sdk/TbsDownloadConfig.getDownloadSuccessMaxRetrytimes, inclusiveCpuTime:4272, inclusiveRealTime:6195, call times:1, cpuTime:4272/call, realTime:6195/call
android/view/Choreographer.doCallbacks, inclusiveCpuTime:331300, inclusiveRealTime:431977, call times:15, cpuTime:22086/call, realTime:28798/call
com/tencent/mqq/shared_file_accessor/a.b, inclusiveCpuTime:0, inclusiveRealTime:0, call times:1, cpuTime:0/call, realTime:0/call
oicq/wlogin_sdk/tools/util.get_imei_id, inclusiveCpuTime:1617, inclusiveRealTime:3815, call times:2, cpuTime:808/call, realTime:1907/call
java/io/File.fixSlashes, inclusiveCpuTime:7836, inclusiveRealTime:9666, call times:212, cpuTime:36/call, realTime:45/call
android/view/ViewTreeObserver$CopyOnWriteArray.add, inclusiveCpuTime:122, inclusiveRealTime:152, call times:4, cpuTime:30/call, realTime:38/call
com/tencent/mobileqq/musicgene/MusicGeneWebViewPlugin.handleEvent, inclusiveCpuTime:30, inclusiveRealTime:30, call times:2, cpuTime:15/call, realTime:15/call
java/io/ByteArrayOutputStream.<init>, inclusiveCpuTime:4723, inclusiveRealTime:5101, call times:375, cpuTime:12/call, realTime:13/call
com/tencent/mobileqq/app/BrowserAppInterface$3.<init>, inclusiveCpuTime:2716, inclusiveRealTime:4273, call times:1, cpuTime:2716/call, realTime:4273/call
android/view/View.hackTurnOffWindowResizeAnim, inclusiveCpuTime:30, inclusiveRealTime:0, call times:2, cpuTime:15/call, realTime:0/call
com/tencent/biz/AuthorizeConfig.<clinit>, inclusiveCpuTime:31, inclusiveRealTime:30, call times:1, cpuTime:31/call, realTime:30/call
libcore/io/Posix.stat, inclusiveCpuTime:8569, inclusiveRealTime:8884, call times:169, cpuTime:50/call, realTime:52/call
com/tencent/smtt/utils/TbsConfigFile.<init>, inclusiveCpuTime:1251, inclusiveRealTime:1281, call times:1, cpuTime:1251/call, realTime:1281/call
